condition_label,severity,urgency,remedy_text,recommended_specialist,confidence_threshold
inflammation,moderate,monitor,Mild mucosal inflammation — recommend dietary modifications and follow-up,Gastroenterology,0.72
stricture,moderate,monitor,Benign stricture detected — recommend balloon dilation,Surgery,0.76
bleeding,mild,emergency,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.74
perforation,mild,emergency,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.75
ischemia,none,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.88
ulcer,moderate,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.67
ischemia,mild,consult,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.81
bleeding,mild,emergency,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.82
hemorrhoids,mild,emergency,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.63
obstruction,moderate,consult,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.83
erosion,none,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.64
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.8
bleeding,none,monitor,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.83
obstruction,mild,emergency,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.72
bleeding,none,monitor,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.66
polyp,moderate,emergency,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.79
ischemia,mild,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.79
bleeding,none,consult,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.72
ischemia,severe,consult,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.81
obstruction,mild,emergency,Complete obstruction — surgical emergency,Surgery,0.88
ulcer,mild,emergency,Severe ulceration — admit patient for surgical management,Gastroenterology,0.86
bleeding,moderate,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.63
cancer,moderate,consult,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.69
ulcer,none,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.66
ulcer,mild,emergency,Severe ulceration — admit patient for surgical management,Gastroenterology,0.88
infection,moderate,emergency,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.64
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.66
ulcer,none,emergency,Severe ulceration — admit patient for surgical management,Gastroenterology,0.61
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.68
bleeding,severe,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.65
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.88
stricture,none,monitor,Benign stricture detected — recommend balloon dilation,Surgery,0.77
stricture,mild,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.76
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.79
inflammation,none,consult,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.83
infection,mild,monitor,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.65
diverticulosis,mild,monitor,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.9
erosion,mild,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.8
infection,severe,emergency,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.72
perforation,none,monitor,Severe perforation — emergency laparotomy required,Surgery,0.83
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.82
erosion,none,emergency,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.84
diverticulosis,moderate,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.86
inflammation,moderate,emergency,Mild mucosal inflammation — recommend dietary modifications and follow-up,Gastroenterology,0.81
stricture,none,emergency,Severe stricture — surgical resection necessary,Surgery,0.74
ischemia,moderate,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.72
obstruction,moderate,monitor,Moderate obstruction — endoscopic stent placement advised,Surgery,0.81
ulcer,mild,emergency,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.75
obstruction,none,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.71
obstruction,moderate,monitor,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.73
obstruction,moderate,monitor,Complete obstruction — surgical emergency,Surgery,0.7
perforation,moderate,emergency,Severe perforation — emergency laparotomy required,Surgery,0.66
erosion,moderate,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.81
infection,moderate,monitor,Severe infection — hospital admission for IV antibiotics,InfectiousDisease,0.89
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.61
ischemia,moderate,monitor,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.85
diverticulosis,mild,emergency,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.72
ischemia,mild,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.71
erosion,none,consult,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.69
diverticulosis,moderate,consult,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.86
diverticulosis,mild,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.82
ulcer,none,consult,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.83
cancer,mild,monitor,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.65
inflammation,moderate,emergency,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.63
erosion,moderate,consult,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.68
ischemia,moderate,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.66
perforation,none,consult,Small perforation detected — monitor under hospital setting,Surgery,0.86
perforation,none,emergency,Small perforation detected — monitor under hospital setting,Surgery,0.77
infection,none,emergency,Severe infection — hospital admission for IV antibiotics,InfectiousDisease,0.64
stricture,moderate,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.8
obstruction,moderate,consult,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.63
inflammation,moderate,consult,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.89
stricture,severe,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.83
diverticulosis,severe,consult,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.78
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.78
infection,none,consult,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.74
perforation,moderate,consult,Severe perforation — emergency laparotomy required,Surgery,0.61
polyp,mild,consult,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.72
obstruction,severe,emergency,Complete obstruction — surgical emergency,Surgery,0.87
ulcer,mild,emergency,Severe ulceration — admit patient for surgical management,Gastroenterology,0.65
inflammation,severe,monitor,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.66
polyp,none,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.86
hemorrhoids,moderate,consult,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.85
erosion,mild,consult,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.68
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.68
cancer,none,emergency,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.86
ulcer,severe,monitor,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.88
diverticulosis,moderate,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.71
bleeding,mild,consult,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.78
perforation,mild,consult,Severe perforation — emergency laparotomy required,Surgery,0.88
diverticulosis,none,emergency,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.65
cancer,moderate,monitor,Suspicious lesion detected — recommend biopsy and oncology referral,Oncology,0.73
infection,mild,emergency,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.67
stricture,none,consult,Benign stricture detected — recommend balloon dilation,Surgery,0.68
stricture,severe,emergency,Moderate stricture — endoscopic stent placement recommended,Surgery,0.87
perforation,mild,monitor,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.85
obstruction,moderate,emergency,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.74
infection,moderate,emergency,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.65
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.84
polyp,none,consult,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.63
ischemia,mild,emergency,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.89
hemorrhoids,mild,emergency,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.8
ischemia,severe,monitor,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.86
ischemia,none,consult,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.9
ischemia,severe,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.82
erosion,moderate,consult,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.62
inflammation,mild,monitor,Mild mucosal inflammation — recommend dietary modifications and follow-up,Gastroenterology,0.88
perforation,severe,consult,Severe perforation — emergency laparotomy required,Surgery,0.79
infection,severe,monitor,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.88
cancer,none,emergency,Advanced cancer stage — palliative care and oncology-led management,Oncology,0.89
erosion,mild,monitor,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.82
obstruction,severe,monitor,Moderate obstruction — endoscopic stent placement advised,Surgery,0.82
polyp,severe,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.71
bleeding,severe,emergency,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.75
bleeding,mild,emergency,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.78
cancer,mild,emergency,Suspicious lesion detected — recommend biopsy and oncology referral,Oncology,0.87
ulcer,moderate,monitor,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.74
polyp,none,consult,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.88
obstruction,severe,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.71
cancer,none,emergency,Suspicious lesion detected — recommend biopsy and oncology referral,Oncology,0.62
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.82
erosion,none,consult,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.64
bleeding,moderate,emergency,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.69
stricture,moderate,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.66
stricture,moderate,emergency,Severe stricture — surgical resection necessary,Surgery,0.81
ulcer,severe,consult,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.66
ischemia,severe,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.89
diverticulosis,mild,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.81
cancer,severe,emergency,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.9
stricture,severe,consult,Benign stricture detected — recommend balloon dilation,Surgery,0.82
inflammation,mild,emergency,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.8
infection,none,consult,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.67
hemorrhoids,moderate,consult,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.8
perforation,none,consult,Severe perforation — emergency laparotomy required,Surgery,0.8
hemorrhoids,severe,consult,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.64
cancer,moderate,consult,Advanced cancer stage — palliative care and oncology-led management,Oncology,0.89
erosion,mild,monitor,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.74
ischemia,moderate,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.78
ulcer,none,consult,Severe ulceration — admit patient for surgical management,Gastroenterology,0.66
erosion,mild,consult,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.65
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.85
inflammation,none,monitor,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.89
inflammation,mild,emergency,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.81
ulcer,none,monitor,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.86
obstruction,none,monitor,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.62
stricture,none,consult,Benign stricture detected — recommend balloon dilation,Surgery,0.7
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.78
cancer,none,monitor,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.88
obstruction,moderate,monitor,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.77
ischemia,severe,monitor,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.66
inflammation,moderate,consult,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.65
polyp,severe,emergency,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.74
inflammation,moderate,monitor,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.73
polyp,moderate,monitor,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.69
ischemia,severe,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.67
erosion,mild,monitor,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.74
ischemia,severe,monitor,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.83
infection,mild,monitor,Severe infection — hospital admission for IV antibiotics,InfectiousDisease,0.63
perforation,severe,consult,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.84
hemorrhoids,severe,consult,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.66
diverticulosis,severe,consult,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.61
stricture,severe,monitor,Severe stricture — surgical resection necessary,Surgery,0.71
erosion,mild,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.73
diverticulosis,severe,consult,Complicated diverticulosis — surgical consult advised,Gastroenterology,0.71
diverticulosis,moderate,consult,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.82
stricture,mild,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.69
bleeding,mild,consult,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.64
cancer,moderate,emergency,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.72
bleeding,none,emergency,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.76
stricture,moderate,emergency,Moderate stricture — endoscopic stent placement recommended,Surgery,0.61
diverticulosis,severe,consult,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.75
polyp,moderate,consult,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.74
ischemia,moderate,emergency,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.67
hemorrhoids,mild,monitor,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.83
infection,severe,consult,Severe infection — hospital admission for IV antibiotics,InfectiousDisease,0.65
polyp,moderate,consult,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.69
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.82
ulcer,severe,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.89
inflammation,mild,emergency,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.74
inflammation,mild,consult,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.75
cancer,mild,consult,Suspicious lesion detected — recommend biopsy and oncology referral,Oncology,0.75
hemorrhoids,moderate,emergency,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.75
bleeding,none,consult,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.73
obstruction,severe,consult,Complete obstruction — surgical emergency,Surgery,0.89
stricture,severe,emergency,Moderate stricture — endoscopic stent placement recommended,Surgery,0.83
ulcer,moderate,monitor,Severe ulceration — admit patient for surgical management,Gastroenterology,0.65
bleeding,severe,monitor,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.89
ischemia,severe,consult,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.69
erosion,none,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.69
polyp,severe,monitor,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.88
infection,severe,consult,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.82
obstruction,none,monitor,Moderate obstruction — endoscopic stent placement advised,Surgery,0.64
hemorrhoids,none,consult,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.61
infection,severe,monitor,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.62
perforation,mild,consult,Severe perforation — emergency laparotomy required,Surgery,0.88
bleeding,mild,monitor,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.83
obstruction,none,emergency,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.79
diverticulosis,none,consult,Complicated diverticulosis — surgical consult advised,Gastroenterology,0.87
ischemia,mild,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.81
bleeding,severe,consult,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.8
bleeding,mild,consult,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.87
inflammation,moderate,emergency,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.76
ischemia,severe,emergency,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.89
perforation,mild,emergency,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.77
bleeding,moderate,emergency,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.75
diverticulosis,none,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.66
hemorrhoids,mild,consult,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.66
inflammation,moderate,monitor,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.81
polyp,moderate,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.7
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.72
perforation,mild,emergency,Small perforation detected — monitor under hospital setting,Surgery,0.67
stricture,none,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.84
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.87
bleeding,severe,consult,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.61
perforation,severe,emergency,Severe perforation — emergency laparotomy required,Surgery,0.86
diverticulosis,moderate,emergency,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.62
stricture,none,emergency,Benign stricture detected — recommend balloon dilation,Surgery,0.88
hemorrhoids,moderate,emergency,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.64
polyp,mild,monitor,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.6
diverticulosis,moderate,emergency,Complicated diverticulosis — surgical consult advised,Gastroenterology,0.85
polyp,severe,consult,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.72
bleeding,severe,consult,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.82
infection,moderate,monitor,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.65
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.7
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.89
obstruction,none,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.68
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.86
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.76
hemorrhoids,moderate,consult,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.79
stricture,severe,monitor,Moderate stricture — endoscopic stent placement recommended,Surgery,0.81
bleeding,mild,emergency,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.77
polyp,mild,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.64
bleeding,none,monitor,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.61
erosion,mild,monitor,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.77
erosion,moderate,consult,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.82
diverticulosis,severe,consult,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.74
ulcer,mild,consult,Severe ulceration — admit patient for surgical management,Gastroenterology,0.64
obstruction,mild,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.67
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.9
hemorrhoids,severe,emergency,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.75
erosion,none,monitor,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.63
erosion,severe,monitor,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.71
inflammation,mild,emergency,Moderate inflammation — initiate corticosteroid therapy and consult GI,Gastroenterology,0.9
hemorrhoids,severe,emergency,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.86
cancer,none,monitor,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.79
stricture,severe,emergency,Severe stricture — surgical resection necessary,Surgery,0.71
ischemia,mild,emergency,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.79
ischemia,severe,emergency,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.79
perforation,none,emergency,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.62
ischemia,moderate,consult,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.64
infection,mild,emergency,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.73
